city,description,formal_name,link,location,name,rank,rating_star,recommend_rate,review_link,review_number,state,tuition_and_fees,undergraduate_enrollment,ci,ci_level,city,contributor,crime_index,dg,dg_level,loc,loc_level,pc,pc_level,pcb,pcb_level,pv,pv_level,safety_index,sd,sd_level,sn,sn_level,university,update,wa,wa_level,wbi,wbi_level,wbm,wbm_level,wbsc,wbsc_level,wcs,wcs_level,whb,whb_level,wtc,wtc_level,pcp_in_Apr,pcp_in_Aug,pcp_in_Dec,pcp_in_Feb,pcp_in_Jan,pcp_in_July,pcp_in_June,pcp_in_Mar,pcp_in_May,pcp_in_Nov,pcp_in_Oct,pcp_in_Sep,tmax_in_Apr,tmax_in_Aug,tmax_in_Dec,tmax_in_Feb,tmax_in_Jan,tmax_in_July,tmax_in_June,tmax_in_Mar,tmax_in_May,tmax_in_Nov,tmax_in_Oct,tmax_in_Sep,tmin_in_Apr,tmin_in_Aug,tmin_in_Dec,tmin_in_Feb,tmin_in_Jan,tmin_in_July,tmin_in_June,tmin_in_Mar,tmin_in_May,tmin_in_Nov,tmin_in_Oct,tmin_in_Sep,university,Bike_Main_Means,Bus_Trolleybus_Main_Means,Bus_Trolleybus_Ride_Bus_Trolleybus,CO2_Emission_Index,Car_Main_Means,Distance_Bus_Trolleybus,Distance_Car,Distance_Overall,Driving_Car_Car,Inefficiency_Index,Motorbike_Main_Means,Overall_Bus_Trolleybus,Overall_Car,Overall_Overall,Time_Exp_Index,Time_Index_in_minutes,Traffic_Index,Train_Metro_Main_Means,Train_Metro_Ride_Bus_Trolleybus,Tram_Streetcar_Main_Means,University,Waiting_Bus_Trolleybus,Walking_Bus_Trolleybus,Walking_Main_Means,Working_from_Home_Main_Means
Davis,"The University of California?é?Davis, one of 10 schools in the University of California system, was originally established as a farm school for UC - Berkeley. Located just 15 miles from Sacramento, UC Davis' campus contains an airport, fire department and a collection of outdoor sculptures called Eggheads. There are more than 700 student organizations on campus in addition to a sizable Greek community that comprises about 65 fraternity and sorority chapters. All freshmen are guaranteed housing, and after their first year students typically move off campus or live in university apartments. The UC Davis Aggies field 25 NCAA Division I teams, and students can join the Aggie Pack, the largest student spirit organization in the country.UC Davis offers a wide range of academic options within its undergraduate, graduate and professional schools and colleges. Among the school's graduate programs are the highly ranked Graduate School of Management, School of Law, School of Medicine, College of Engineering??and Schooof Veterinary Medicine. Other notable programs include the School of Education??and the Betty Irene Moore School of Nursing. Undergraduates can study in the College of Letters and Science, College of Engineering, College of Biological Sciences or College of Agriculture and Environmental Sciences. The UC Davis Arboretum, technically a public park, encompasses 100 acres of gardens that stretch along a waterway.",University of California--Davis,https://www.usnews.com/best-colleges/university-of-california-davis-1313,"Davis, CA",UNIVERSITY OF CALIFORNIA--DAVIS,38,5.0,100%,https://www.usnews.com/best-colleges/university-of-california-davis-1313/reviews,18.0,CA,44408.0,31162,50.0,Moderate,"Davis, CA",5.0,28.38,25.0,Low,35.0,Low,40.0,Moderate,10.0,Very Low,25.0,Low,71.62,75.0,High,70.0,High,University of California--Davis,21-Mar,15.0,Very Low,12.5,Very Low,25.0,Low,15.0,Very Low,10.0,Very Low,45.0,Moderate,50.0,Moderate,0.07,0.0,7.29,0.99,3.12,0.0,0.0,1.29,0.0,0.91,5.24,0.05,78.4,95.0,53.7,64.3,59.4,97.5,92.6,65.9,85.9,65.0,74.2,91.5,46.6,60.6,38.4,42.8,39.8,61.3,58.9,41.3,54.1,45.2,49.0,57.9,University of California--Davis,,,,,,,,,,,,,,,,,,,,,University of California--Davis,,,,
Austin,"The University of Texas at Austin is one of the largest schools in the nation. It?é?s divided into 13 schools and colleges, the biggest of which is the College of Liberal Arts. It also has highly ranked graduate programs, including the McCombs School of Business, Cockrell School of Engineering and School of Nursing. Students can participate in more than 1,000 clubs and organizations or in the sizable UT Greek system. The university has several student media outlets, and its sports teams are notorious competitors in the Division I Big 12 Conference. UT also offers hundreds of study abroad programs, with the most popular destinations being Spain, Italy, the United Kingdom, France and China. Freshmen do not have to live on campu",University of Texas at Austin,https://www.usnews.com/best-colleges/university-of-texas-at-austin-3658,"Austin, TX",UNIVERSITY OF TEXAS AT AUSTIN,38,4.6,95%,https://www.usnews.com/best-colleges/university-of-texas-at-austin-3658/reviews,20.0,TX,40032.0,40048,62.67,High,"Austin, TX",147.0,37.06,44.16,Moderate,38.73,Low,46.25,Moderate,32.69,Low,34.33,Low,62.94,82.68,Very High,52.84,Moderate,University of Texas at Austin,21-Dec,27.82,Low,33.15,Low,29.4,Low,22.61,Low,29.82,Low,36.62,Low,49.82,Moderate,3.43,3.6,1.7,1.91,1.64,4.05,3.59,1.11,7.23,2.4,5.3,1.79,79.4,95.8,75.0,58.5,65.3,93.3,92.9,76.4,84.1,73.1,85.7,95.5,58.8,76.1,55.2,38.2,41.9,74.8,74.2,53.3,66.1,50.1,62.9,70.3,University of Texas at Austin,1.79%,2.38%,31.75,"8,342.73",90.48%,12.37,24.12,22.91,33.42,218.67,0.00%,49.5,34.23,34.3,463.84,34.3,161.97,0.00%,,0.00%,University of Texas at Austin,7.25,7.5,3.57%,1.79%
Williamsburg,"William & Mary, located in Williamsburg, Virginia, is the second oldest college in the U.S. King William III and Queen Mary II of England founded the school in 1693. The university has more than 30 undergraduate programs and more than 10 graduate and professional degree programs. Its highly ranked graduate schools include the Marshall-Wythe School of Law, the first law school in the U.S.; the School of Education; and the Mason School of Business. Students can join the Phi Beta Kappa fraternity, the nation?é?s first academic Greek society, as well as other fraternities and sororities. All freshmen are required to live on campus, and the majority of upperclassmen choose to live on campus as wel",William & Mary,https://www.usnews.com/best-colleges/william-and-mary-3705,"Williamsburg, VA",WILLIAM & MARY,38,4.4,84%,https://www.usnews.com/best-colleges/william-and-mary-3705/reviews,27.0,VA,46467.0,6236,50.0,Moderate,"Williamsburg, VA",5.0,12.94,25.0,Low,5.0,Very Low,15.0,Very Low,15.0,Very Low,15.0,Very Low,87.06,100.0,Very High,75.0,High,William & Mary,21-Nov,10.0,Very Low,15.0,Very Low,5.0,Very Low,0.0,Very Low,5.0,Very Low,5.0,Very Low,20.0,Low,1.84,7.28,1.49,5.98,3.9,7.75,6.23,4.18,2.1,0.79,4.22,2.81,70.5,88.0,59.5,46.2,47.8,88.1,84.8,62.6,77.7,59.5,75.0,81.9,46.5,71.4,39.0,31.8,31.0,70.2,66.4,40.0,53.2,37.5,57.4,62.9,William & Mary,,,,,,,,,,,,,,,,,,,,,William & Mary,,,,
Boston,"Boston University is one of the largest independent, nonprofit universities in the country. The BU Terriers have more than 20 NCAA Division I varsity sports. BU?é?s hockey team has won multiple NCAA national championships. BU also has nearly 500 student clubs, ranging from Ski Racing to the Juggling Association. BU created one of the first study abroad programs, and currently sponsors more than 90 international programs. Freshmen are required to live on campus, and about 80 percent of undergraduate students live on the main Boston campus, which lies along the Charles River.Boston University?é?s highly ranked??graduate schools include the School of Law, School of Management, School of Medicine, College of Engineering??and School of Education. BU?é?s School of Medicine is the nation?é?s first combined cancer research and teaching laboratory. BU is also the first university to open all divisions to female students in 1872. Notable alumni include Dr. Martin Luther King, Jr.; actresses Julianne Moore and Gis; television personality Bill O?é?Reilly; radio host Howard Stern; and Tipper Gore, former wife of Al Gore. Another unique fact: the BU Bridge is the only spot in the U.S. where a plane can fly over a car driving over a train going over a boat, all at the same tim",Boston University,https://www.usnews.com/best-colleges/boston-university-2130,"Boston, MA",BOSTON UNIVERSITY,42,4.8,94%,https://www.usnews.com/best-colleges/boston-university-2130/reviews,18.0,MA,59816.0,16872,52.71,Moderate,"Boston, MA",171.0,37.22,52.19,Moderate,41.26,Moderate,42.81,Moderate,38.75,Low,37.88,Low,62.78,82.63,Very High,58.08,Moderate,Boston University,22-Mar,32.58,Low,36.16,Low,33.13,Low,23.29,Low,26.81,Low,33.08,Low,40.36,Moderate,4.44,7.0,2.45,3.06,2.02,10.08,2.57,1.89,4.92,1.34,5.11,7.47,58.8,83.8,45.8,37.3,38.2,79.1,83.6,50.8,69.9,52.1,66.1,76.7,42.7,70.0,32.8,26.6,27.0,65.7,65.1,32.8,52.9,37.4,53.7,62.6,Boston University,4.17%,7.29%,37.57,"8,354.87",62.50%,14.42,27.95,22.51,45.88,245.91,0.00%,53.14,47.1,45.36,"3,654.21",45.36,212.89,8.33%,,2.08%,Boston University,7.86,7.71,9.38%,6.25%
Waltham,"Brandeis University is located in Waltham, Mass., just nine miles west of Boston. Students are guaranteed housing for their first four semesters. In addition to student-run TV and radio stations, Brandeis has religious and performance groups, service organizations, cultural awareness groups, performance groups and more. The Shapiro Campus Center serves as a hub of student activity on campus, housing a theater, bookstore, cafe, library, meeting rooms and a student art gallery. Cholmondeley?é?s, the campus coffeehouse, is another hotspot for concerts and comedy shows. The Brandeis Judges field more than 15 NCAA Division III teams and are known for their strong men?é?s soccer team. There is no Greek life on campus.Brandeis is comprised of the College of Arts and Sciences and four graduate schools. The Graduate School of Arts and Sciences offers highly ranked programs in English??and history, and The Heller School for Social Policy and Management is notable for its programs in social policy, health policy andagement, and international development. Nearly 50 percent of students participate in study abroad programs offered in about 70 countries around the world. The Steinhardt Social Research Institute at Brandeis provides research and information on contemporary Judaism and the Jewish community. Pulitzer Prize winner and New York Times columnist Thomas Friedman graduated from Brandeis, which was named for the first Jewish Associate Justice of the Supreme Court, Louis Dembitz Brandeis.",Brandeis University,https://www.usnews.com/best-colleges/brandeis-university-2133,"Waltham, MA",BRANDEIS UNIVERSITY,42,4.8,92%,https://www.usnews.com/best-colleges/brandeis-university-2133/reviews,13.0,MA,60391.0,3493,,,,,,,,,,,,,,,,,,,,,Brandeis University,,,,,,,,,,,,,,,,4.58,5.42,3.16,3.2,2.31,11.46,2.48,1.8,4.99,2.31,6.62,6.86,60.3,83.1,44.2,35.7,37,78.9,82.7,51.7,71.3,52.4,65.8,75.8,37.4,64.4,28.0,19.3,21.9,61.2,59.5,27.2,47.2,30.5,46.8,55.7,Brandeis University,,,,,,,,,,,,,,,,,,,,,Brandeis University,,,,
Cleveland,"Case Western Reserve University is known for its world class research, but with more than 200 student organizations, there are plenty of opportunities to get involved outside the classroom, too. The Case Western Spartans varsity teams compete in the Division III University Athletic Association. The Greek system, which stresses a commitment to on-campus and community service, involves about one third of students. The campus is located about 20 minutes from downtown Cleveland, where students have free access to a handful of downtown museums like the Rock and Roll Hall of Fame and the Great Lakes Science Center. On campus, freshmen live in one of four themed residential communities, which are called Cedar, Juniper, Magnolia and Mistletoe. All students are invited to the annual SpringFest, a collection of music, carnival games and activities that is the largest student-run event on campus.Case Western Reserve University boasts a broad range of top-rated specialty graduate programs, like its health law curriculum at the School of Law. The university also has renowned offerings in biomedical engineering at the School of Engineering and nonprofit management at the Weatherhead School of Management. In addition to its suburban campus, the school owns University Farm, a 400-acre plot of land about 10 miles from campus where students research and take courses in biology, ecology and art. Notable alumni include former U.S. Representative Dennis Kucinich and Craig Newmark, creator and namesake of Web site Craigslist.",Case Western Reserve University,https://www.usnews.com/best-colleges/case-western-reserve-university-3024,"Cleveland, OH",CASE WESTERN RESERVE UNIVERSITY,42,5.0,100%,https://www.usnews.com/best-colleges/case-western-reserve-university-3024/reviews,9.0,OH,54020.0,5433,72.88,High,"Cleveland, OH",59.0,64.06,73.25,High,72.84,High,68.22,High,65.18,High,69.3,High,35.94,55.93,Moderate,24.58,Low,Case Western Reserve University,22-Feb,60.59,High,62.05,High,62.29,High,45.18,Moderate,53.95,Moderate,58.47,Moderate,59.65,Moderate,3.7,7.15,2.91,1.37,1.67,7.91,3.75,1.28,3.12,1.95,4.89,3.05,61.8,84.8,48.6,33.0,36.6,82.7,82.2,56.7,69.8,50.2,69.6,78.3,41.3,65.9,33.4,18.4,26.5,64.3,63.7,33.5,47.8,33.8,53.1,58.6,Case Western Reserve University,0.00%,10.34%,39.0,"7,483.41",82.76%,14.26,26.46,25.11,30.92,177.93,0.00%,51.67,31.5,33.74,396.31,33.74,153.49,0.00%,,0.00%,Case Western Reserve University,4.0,8.67,0.00%,6.90%
New Orleans,"Tulane University, located in New Orleans, is divided between the main uptown campus and a downtown campus, which is the center for health science programs. The school has a well-regarded law school, and its School of Public Health and Tropical Medicine is the only specialty school of its kind in the U.S. Freshmen and sophomores must live on campus, with a few exceptions. Students can participate in more than 200 student organizations on campus. More than 40 percent of students are involved in Tulane?é?s 24 sororities and fraternities. Female students at Tulane University receive extra support through the Newcomb College Institute, which hosts symposiums and guest speakers and offers mentors to young women. Notable alumni include former Speaker of the House Newt Gingrich, talk show host Jerry Springer and Douglas R. Ellin, creator of HBO?é?s hit s""Entourage.""",Tulane University,https://www.usnews.com/best-colleges/tulane-university-2029,"New Orleans, LA",TULANE UNIVERSITY,42,5.0,100%,https://www.usnews.com/best-colleges/tulane-university-2029/reviews,14.0,LA,60814.0,7700,68.11,High,"New Orleans, LA",99.0,66.61,73.68,High,80.15,Very High,72.16,High,70.7,High,72.19,High,33.39,54.59,Moderate,24.24,Low,Tulane University,22-Mar,61.11,High,58.68,Moderate,65.4,High,44.15,Moderate,57.91,Moderate,60.35,High,66.33,High,12.85,9.61,3.07,4.83,2.04,10.61,8.15,9.78,12.8,0.52,2.44,9.39,77.4,92.8,73.7,63.5,64.2,91.9,89.6,75.1,84.1,70.4,82.5,86.2,61.9,77.7,57.6,45.8,46.6,78.0,76.2,58.2,70.2,52.3,68.4,72.5,Tulane University,4.55%,0.00%,,"5,761.05",68.18%,,28.83,21.47,29.93,170.9,0.00%,,30.93,27.81,44.39,27.81,123.45,0.00%,,4.55%,Tulane University,,,18.18%,4.55%
Madison,"The University of Wisconsin?é?Madison lies along the southern shore of Lake Mendota in the city of Madison. The Wisconsin Badgers compete in more than 20 NCAA Division I sports and are part of the Big Ten Conference. Students can get involved in nearly 900 organizations on campus. There is also an active Greek life and social scene on campus, evident in Wisconsin?é?s reputation as one of the top party schools in the country. Freshmen are not required to live on campus, but many choose to do so. Students can opt to live in one of several residential communities where they learn and live with other students and faculty.The University of Wisconsin?é?Madison?é?s highly ranked graduate schools include the School of Education, Robert M. La Follette School of Public Affairs, College of Engineering, School of Business, School of Medicine and Public Health??and Law School. The school?é?s legacy of public service was found""Wisconsin Idea"" that education should influence and improve people?é?s lives beyond the classroom. Notable Wisconsin alumni include renowned glass artist Dale Chihuly and author Joyce Carol Oates. Other past students include former Vice President Dick Cheney, aviator Charles Lindbergh, naturalist John Muir and architect Frank Lloyd Wrigh",University of Wisconsin--Madison,https://www.usnews.com/best-colleges/university-of-wisconsin-3895,"Madison, WI",UNIVERSITY OF WISCONSIN--MADISON,42,4.9,100%,https://www.usnews.com/best-colleges/university-of-wisconsin-3895/reviews,17.0,WI,38608.0,33585,67.03,High,"Madison, WI",69.0,33.98,42.19,Moderate,37.31,Low,42.39,Moderate,23.05,Low,34.42,Low,66.02,83.46,Very High,62.68,High,University of Wisconsin--Madison,22-Mar,28.62,Low,29.76,Low,26.49,Low,22.66,Low,27.17,Low,31.16,Low,36.94,Low,1.44,3.23,1.69,0.86,1.27,1.58,4.6,1.41,2.2,0.36,1.84,2.34,59.9,84.0,39.2,21.9,28.7,82.3,83.3,49.2,68.4,46.0,64.5,76.8,38.6,61.4,22.4,3.3,15.4,61.5,62.0,28.7,46.7,27.0,46.7,52.3,University of Wisconsin--Madison,14.29%,3.57%,30.0,"5,210.86",78.57%,6.44,24.14,19.95,24.73,125.65,0.00%,35.0,25.14,24.18,24.18,24.18,112.49,0.00%,,0.00%,University of Wisconsin--Madison,5.0,,3.57%,0.00%
Champaign,"The University of Illinois is located in the twin cities of Urbana and Champaign in east-central Illinois, only a few hours from Chicago, Indianapolis and St. Louis. The school?é?s Fighting Illini participate in more than 20 NCAA Division I varsity sports and are part of the Big Ten Conference. The university boasts one of the largest Greek systems in the country, and almost a quarter of the student body is involved. It?é?s not hard to find something to do on campus with more than 1,600 student organizations,??including professional, political and philanthropic clubs. All freshmen are required to live on campus.The University of Illinois?é?Urbana-Champaign comprises 15 colleges and schools. Its School of Information Sciences, College of Engineering??and Department of Psychology??are among the best in the country. The school?é?s College of Business, College of Education??and College of Law??are also highly ranked. The University of Illinois is considered a school with the highest level of research acticording to the Carnegie Classification of Institutions of Higher Education. It was the first school to provide disability access to all university services, curricula and facilities. Notable alumni include Pulitzer Prize-winning film critic Roger Ebert and the co-founder of YouTube, Steve Chen.??",University of Illinois--Urbana-Champaign,https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775,"Champaign, IL",UNIVERSITY OF ILLINOIS--URBANA-CHAMPAIGN,47,4.7,89%,https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775/reviews,19.0,IL,34316.0,33683,62.5,High,"Champaign, IL",14.0,40.93,44.23,Moderate,51.79,Moderate,50.0,Moderate,26.92,Low,50.0,Moderate,59.07,80.36,Very High,44.64,Moderate,University of Illinois--Urbana-Champaign,21-Nov,39.29,Low,32.69,Low,39.29,Low,11.54,Very Low,26.79,Low,42.86,Moderate,39.29,Low,2.34,5.07,2.74,1.71,2.14,3.86,7.24,3.99,4.26,1.13,7.73,3.28,63.5,85.2,48.7,28.5,34.9,82.6,84.1,56.0,71.6,49.3,68.7,81.6,40.4,64.2,30.4,13.0,23.4,64.6,63.1,34.4,49.5,29.9,50.6,57.3,University of Illinois--Urbana-Champaign,33.33%,0.00%,,443.33,33.33%,,3.22,2.84,5.0,5.15,0.00%,,6.0,12.33,12.33,12.33,39.17,0.00%,,0.00%,University of Illinois--Urbana-Champaign,,,33.33%,0.00%
Athens,"At its founding, The University of Georgia made history as the first public, state-supported college in America. These days, the school is known for its vibrant student community. UGA?é?s college town of Athens was rated among the best college towns in the country by U.S. News, and the competitive Bulldogs sports teams compete in the NCAA Division I Southeastern Conference. There are more than 700 student clubs and organizations, including more than 60 Greek chapters that involve around 25% of UGA students. Community service is a particularly big focus, with student-run philanthropies such as UGA Miracle, a yearlong fundraiser and 24-hour Dance Marathon for Children?é?s Healthcare of Atlanta. First-year students must live on campus, but Atlanta is 60 miles away for those itching for a road trip.The University of Georgia has renowned graduate programs in its College of Education and Law School. As both a land and sea grant university, UGA is active in research and promotion of agricultural and sea-based prms. One unique offering at UGA is the Eugene P. Odum School of Ecology, the first school of its kind when it was launched in 2007. Notable alumni of UGA include U.S. Sen. Johnny Isakson, Food Network personality Alton Brown and AFLAC CEO Dan Amos.",University of Georgia,https://www.usnews.com/best-colleges/university-of-georgia-1598,"Athens, GA",UNIVERSITY OF GEORGIA,48,5.0,100%,https://www.usnews.com/best-colleges/university-of-georgia-1598/reviews,20.0,GA,31120.0,29765,27.78,Low,"Athens, GA",10.0,21.83,36.11,Low,25.0,Low,22.22,Low,19.44,Very Low,25.0,Low,78.17,90.0,Very High,69.44,High,University of Georgia,21-Sep,13.89,Very Low,25.0,Low,13.89,Very Low,8.33,Very Low,19.44,Very Low,19.44,Very Low,25.0,Low,3.01,6.22,4.02,3.33,4.89,6.41,3.7,3.94,4.42,0.88,6.54,2.55,74.7,89.5,64.0,56.2,55,88.7,86.7,69.8,80.1,64.6,76.1,82.9,47.5,70.1,43.6,36.6,35.4,70.0,65.9,45.2,55.8,38.3,55.6,62.1,University of Georgia,0.00%,0.00%,,"8,866.67",66.67%,,38.62,26.42,50.0,307.26,0.00%,,50.0,38.33,"1,180.95",38.33,184.39,0.00%,,0.00%,University of Georgia,,,33.33%,0.00%
Bethlehem,"Lehigh University is located in Bethlehem, Pa., 50 miles north of Philadelphia and 75 miles west of New York City. The Lehigh Mountain Hawks are members of the Patriot League, and compete in 25 NCAA Division I sports. Their biggest athletic rivalry is Lafayette College, located less than 20 miles away. A third of the student body is involved in fraternities and sororities. All freshmen are required to live on campus, and sophomores are also required to live on campus in a residence hall or Greek housing. Lehigh?é?s main campus is located on the wooded slope of South Mountain, and half of the campus is preserved as open space.Lehigh University has four colleges, with numerous undergraduate and graduate majors. Its well-regarded graduate programs include the College of Education??and the P.C. Rossin College of Engineering and Applied Science. The Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act originated at Lehigh, requiring colleges to reveal crimes on campus. Lehigh folklorsays the school colors of brown and white originated when a woman wearing brown and white stockings passed by a group of men discussing school colors, and the rest is history. Notable alumni include Jesse W. Reno, the inventor of the escalator; and Howard McClintic and Charles Marshall, whose construction company helped build the Golden Gate Bridge, the George Washington Bridge, the Panama Canal and New York?é?s Waldorf-Astoria Hote",Lehigh University,https://www.usnews.com/best-colleges/lehigh-university-3289,"Bethlehem, PA",LEHIGH UNIVERSITY,49,4.7,94%,https://www.usnews.com/best-colleges/lehigh-university-3289/reviews,17.0,PA,57470.0,5203,,,,,,,,,,,,,,,,,,,,,Lehigh University,,,,,,,,,,,,,,,,1.62,8.51,1.54,4.33,1.77,5.64,3.47,3.58,4.13,1.44,5.18,9.14,63.3,83.0,46.4,36.0,37.4,83.7,80.8,52.8,71.4,51.5,67.8,76.0,38.3,63.7,29.5,20.4,23.0,62.6,56.9,29.8,45.7,30.3,48.5,55.4,Lehigh University,,,,,,,,,,,,,,,,,,,,,Lehigh University,,,,
Boston,"At Northeastern University, students gain substantial work experience before receiving their diplomas. More than 90 percent of Northeastern undergraduates complete at least one professional co-op during their college career, working for one of more than 2,000 employers around the world, such as ESPN and MTV. Students can choose to complete their degree in four years, with the potential for two co-ops, or five years, building in time for three co-ops. Outside of the classroom and workplace, there are more than 400 clubs and organizations for students, including more than 30 fraternities and sororities. The Northeastern Huskies compete in the NCAA Division I Colonial Athletic Conference. More than 3,000 students compete at the club and intramural sport level. Freshmen and sophomores are required to live on campus. Northeastern?é?s campus is spread out across 73 acres in the venerable college town of Boston. Northeastern has its own stop on Boston?é?s subway system, commonly called the T. The city, home to md colleges, is steeped in American history and full of activities for students.The university receives hefty research grants each year from the National Science Foundation and the National Institutes of Health, as well as the Departments of Homeland Security, Energy and Defense. Undergraduates and graduates alike can get involved in research, and many present projects in the annual Research, Innovation and Scholarship Expo. Notable alumni include talk show host Wendy Williams and former astronaut and professor Albert Sacco. Napster founder Shawn Fanning attended but did not graduate from Northeastern.",Northeastern University,https://www.usnews.com/best-colleges/northeastern-university-2199,"Boston, MA",NORTHEASTERN UNIVERSITY,49,4.9,97%,https://www.usnews.com/best-colleges/northeastern-university-2199/reviews,34.0,MA,57592.0,15156,52.71,Moderate,"Boston, MA",171.0,37.22,52.19,Moderate,41.26,Moderate,42.81,Moderate,38.75,Low,37.88,Low,62.78,82.63,Very High,58.08,Moderate,Northeastern University,22-Mar,32.58,Low,36.16,Low,33.13,Low,23.29,Low,26.81,Low,33.08,Low,40.36,Moderate,4.44,7.0,2.45,3.06,2.02,10.08,2.57,1.89,4.92,1.34,5.11,7.47,58.8,83.8,45.8,37.3,38.2,79.1,83.6,50.8,69.9,52.1,66.1,76.7,42.7,70.0,32.8,26.6,27.0,65.7,65.1,32.8,52.9,37.4,53.7,62.6,Northeastern University,4.17%,7.29%,37.57,"8,354.87",62.50%,14.42,27.95,22.51,45.88,245.91,0.00%,53.14,47.1,45.36,"3,654.21",45.36,212.89,8.33%,,2.08%,Northeastern University,7.86,7.71,9.38%,6.25%
Columbus,"OSU offers more than 200 undergraduate majors, as well as a Personalized Study Program where students can design a nontraditional education. The university also offers a variety of graduate programs through such highly ranked schools as the College of Education and Human Ecology, Max M. Fisher College of Business and College of Medicine. Students can participate in more than 1,000 on-campus clubs and organizations, including more than 60 fraternities and sororities, or volunteer through the Pay It Forward program. Sports are a big part of campus life, with the Ohio State Buckeyes competing in the NCAA Division I Big Ten Conference. All freshmen must live on campus, unless they are from Central Ohio and can commute. Students can also study abroad in more than 75 countries through OSU.",Ohio State University--Columbus,https://www.usnews.com/best-colleges/ohio-state-6883,"Columbus, OH",OHIO STATE UNIVERSITY--COLUMBUS,49,4.5,87%,https://www.usnews.com/best-colleges/ohio-state-6883/reviews,25.0,OH,35019.0,46984,67.25,High,"Columbus, OH",72.0,43.45,57.58,Moderate,52.17,Moderate,51.09,Moderate,31.82,Low,44.29,Moderate,56.55,76.39,High,50.35,Moderate,Ohio State University--Columbus,22-Mar,30.63,Low,40.0,Moderate,37.86,Low,30.3,Low,34.64,Low,34.15,Low,49.3,Moderate,3.28,7.16,4.51,2.23,2.25,4.64,2.58,2.85,3.46,1.91,3.57,1.99,64.4,86.1,50.5,34.0,37.6,84.4,84.3,59.0,72.1,50.9,70.6,79.4,42.0,67.3,33.2,20.6,26.7,66.1,64.1,34.8,49.2,32.8,53.9,58.3,Ohio State University--Columbus,1.96%,1.96%,19.0,"6,059.88",90.20%,5.5,21.63,19.85,24.98,104.85,0.00%,26.0,25.24,24.94,24.94,24.94,118.02,0.00%,,0.00%,Ohio State University--Columbus,2.0,5.0,5.88%,0.00%
Malibu,"Squeezed in among the Santa Monica Mountain foothills, Pepperdine University is a Christian college known for its picturesque location in Malibu, Calif. The school upholds the New Testament-based traditions of the Churches of Christ. Students must attend 14 spiritual events a semester and take at least three religion courses during their time at Pepperdine. There is a Church of Christ on campus, as well as a handful of student-led ministries. Outside of church, the school?é?s sports teams, the Pepperdine Waves, compete in the Division I West Coast Conference. Students can also play club sports, such as lacrosse, tennis and surfing, and a variety of intramural sports, from flag football to volleyball. Freshmen and sophomores must live in university housing on the dry campus, and student spiritual life leaders live in each residence hall. About a third of students are active in more than a dozen sororities and fraternities, though there is no official Greek housing on campus.In addition to its main campus in libu, Pepperdine University offers graduate courses at campuses in West Los Angeles, Irvine, Encino and San Jose. The school also has facilities in Germany, England, Italy, Switzerland, Argentina, China and Washington, D.C. Beverly Hills is 24 miles away and Disneyland is 54 miles away from Pepperdine?é?s Malibu campus. Los Angeles is about an hour?é?s drive away. The school has graduated dozens of top athletes, including baseball player Randy Wolf, golfer Jason Allred, basketball player Alex Acker and beach volleyball Olympic medalist Nicole Sanderson, among its many notable alu",Pepperdine University,https://www.usnews.com/best-colleges/pepperdine-university-1264,"Malibu, CA",PEPPERDINE UNIVERSITY,49,4.8,93%,https://www.usnews.com/best-colleges/pepperdine-university-1264/reviews,14.0,CA,59702.0,3459,,,,,,,,,,,,,,,,,,,,,Pepperdine University,,,,,,,,,,,,,,,,0.04,0.02,7.72,0.04,2.0,0.08,0.0,1.07,0.02,0.0,0.79,0.01,73.1,89.6,58.0,64.0,61.7,91.1,87.2,63.3,77.0,72.6,73.7,85.8,48.1,64.2,39.9,41.2,40.6,66.2,60.4,40.8,53.5,47.3,50.6,60.2,Pepperdine University,,,,,,,,,,,,,,,,,,,,,Pepperdine University,,,,
